stock_begin,stock_date,stock_end,stock_high,stock_low,stock_ratio,stock_vol
"4,058.0",2020年04月14日,"4,420.0","4,441.0","4,026.0",5.24%,64.40M
"4,310.0",2020年04月13日,"4,200.0","4,360.0","4,200.0",-3.38%,22.74M
"4,218.0",2020年04月10日,"4,347.0","4,370.0","4,177.0",3.92%,27.10M
"4,149.0",2020年04月09日,"4,183.0","4,282.0","4,139.0",1.06%,30.41M
"4,171.0",2020年04月08日,"4,139.0","4,182.0","3,988.0",0.24%,31.83M
"4,179.0",2020年04月07日,"4,129.0","4,242.0","4,040.0",2.81%,33.35M
"3,720.0",2020年04月06日,"4,016.0","4,050.0","3,676.0",7.61%,34.56M
"3,797.0",2020年04月03日,"3,732.0","3,877.0","3,702.0",-0.96%,27.96M
"3,629.0",2020年04月02日,"3,768.0","3,840.0","3,596.0",2.53%,45.24M
"3,788.0",2020年04月01日,"3,675.0","3,887.0","3,620.0",-2.98%,45.51M
"3,738.0",2020年03月31日,"3,788.0","3,855.0","3,632.0",2.57%,31.38M
"3,550.0",2020年03月30日,"3,693.0","3,693.0","3,465.0",-4.99%,36.17M
"3,918.0",2020年03月27日,"3,887.0","3,959.0","3,756.0",2.89%,36.70M
"3,830.0",2020年03月26日,"3,778.0","4,020.0","3,708.0",-9.40%,50.47M
"3,861.0",2020年03月25日,"4,170.0","4,242.0","3,822.0",10.00%,65.58M
"3,850.0",2020年03月24日,"3,791.0","3,856.0","3,582.0",18.95%,75.33M
"2,660.0",2020年03月23日,"3,187.0","3,187.0","2,652.0",18.61%,49.07M
"3,230.0",2020年03月19日,"2,687.0","3,245.0","2,609.5",-17.22%,70.88M
"3,522.0",2020年03月18日,"3,246.0","3,577.0","3,222.0",-10.90%,60.11M
"3,476.0",2020年03月17日,"3,643.0","3,724.0","3,448.0",-0.74%,56.23M
"3,895.0",2020年03月16日,"3,670.0","3,920.0","3,600.0",-2.50%,48.47M
