"日付け","終値","始値","高値","安値","出来高","前日比%"
"2020年04月06日","4,016.0","3,720.0","4,050.0","3,676.0","34.56M","7.61%"
"2020年04月03日","3,732.0","3,797.0","3,877.0","3,702.0","27.96M","-0.96%"
"2020年04月02日","3,768.0","3,629.0","3,840.0","3,596.0","45.24M","2.53%"
"2020年04月01日","3,675.0","3,788.0","3,887.0","3,620.0","45.51M","-2.98%"
"2020年03月31日","3,788.0","3,738.0","3,855.0","3,632.0","31.38M","2.57%"
"2020年03月30日","3,693.0","3,550.0","3,693.0","3,465.0","36.17M","-4.99%"
"2020年03月27日","3,887.0","3,918.0","3,959.0","3,756.0","36.70M","2.89%"
"2020年03月26日","3,778.0","3,830.0","4,020.0","3,708.0","50.47M","-9.40%"
"2020年03月25日","4,170.0","3,861.0","4,242.0","3,822.0","65.58M","10.00%"
"2020年03月24日","3,791.0","3,850.0","3,856.0","3,582.0","75.33M","18.95%"
"2020年03月23日","3,187.0","2,660.0","3,187.0","2,652.0","49.07M","18.61%"
"2020年03月19日","2,687.0","3,230.0","3,245.0","2,609.5","70.88M","-17.22%"
"2020年03月18日","3,246.0","3,522.0","3,577.0","3,222.0","60.11M","-10.90%"
"2020年03月17日","3,643.0","3,476.0","3,724.0","3,448.0","56.23M","-0.74%"
"2020年03月16日","3,670.0","3,895.0","3,920.0","3,600.0","48.47M","-2.50%"
"2020年03月13日","3,764.0","3,754.0","3,995.0","3,583.0","60.86M","-5.05%"
"2020年03月12日","3,964.0","4,100.0","4,129.0","3,821.0","36.44M","-6.27%"
"2020年03月11日","4,229.0","4,318.0","4,378.0","4,215.0","25.56M","-3.62%"
"2020年03月10日","4,388.0","4,300.0","4,465.0","4,120.0","33.67M","2.43%"
"2020年03月09日","4,284.0","4,363.0","4,480.0","4,232.0","33.11M","-10.43%"
"2020年03月06日","4,783.0","4,990.0","5,025.0","4,770.0","21.56M","-6.07%"
"2020年03月05日","5,092.0","5,100.0","5,120.0","5,034.0","14.48M","1.68%"
"2020年03月04日","5,008.0","4,988.0","5,069.0","4,956.0","15.18M","-1.57%"
"2020年03月03日","5,088.0","5,175.0","5,193.0","5,088.0","19.39M","0.99%"
"2020年03月02日","5,038.0","4,971.0","5,172.0","4,933.0","22.68M","0.50%"
"2020年02月28日","5,013.0","5,020.0","5,103.0","4,970.0","24.73M","-4.31%"
"2020年02月27日","5,239.0","5,381.0","5,394.0","5,151.0","20.19M","-3.25%"
"2020年02月26日","5,415.0","5,390.0","5,415.0","5,322.0","16.28M","-0.82%"
"2020年02月25日","5,460.0","5,342.0","5,544.0","5,335.0","20.41M","-3.60%"
"2020年02月21日","5,664.0","5,595.0","5,711.0","5,570.0","20.70M","2.40%"
"2020年02月20日","5,531.0","5,490.0","5,575.0","5,486.0","20.07M","3.36%"
"2020年02月19日","5,351.0","5,348.0","5,374.0","5,311.0","15.76M","1.56%"
